شماره دانشجويي,نام درس,کد درس ,گروه درس ,
167,ساختمان داده,1218304,2,
167,مباني آناليز عددي,1218133,2,
167,مباني ماتريسها و جبر خطي,1218103,1,
168,ساختمان داده,1218304,2,
168,مباني آناليز عددي,1218133,2,
168,مباني ماتريسها و جبر خطي,1218103,1,
169,اصول سيستمهاي کامپيوتري,1218374,1,
169,ساختمان داده,1218304,1,
169,مباني آناليز عددي,1218133,2,
170,برنامه سازي پيشرفته وکارگاه,1316234,1,
170,مباني کارآفريني,1236322,1,
170,مباني ترکيبيات,1218163,1,
170,مباني ماتريسها و جبر خطي,1218103,2,
170,مباني منطق و نظريه مجموعه,1218243,1,
171,اصول سيستمهاي کامپيوتري,1218374,1,
171,ساختمان داده,1218304,1,
171,مباني آناليز عددي,1218133,2,
171,نظريه گراف,1129043,1,
172,اصول سيستمهاي کامپيوتري,1218374,1,
172,ساختمان داده,1218304,1,
172,مباني احتمال,1319153,1,
173,برنامه سازي پيشرفته وکارگاه,1316234,1,
173,مباني کارآفريني,1236322,1,
173,مباني آناليز عددي,1218133,1,
173,مباني احتمال,1319153,1,
173,مباني ترکيبيات,1218163,1,
174,اصول سيستمهاي کامپيوتري,1218374,1,
174,ساختمان داده,1218304,2,
174,مباني آناليز عددي,1218133,2,
174,مباني احتمال,1319153,1,
174,مباني ترکيبيات,1218163,1,
175,اصول سيستمهاي کامپيوتري,1218374,1,
175,ساختمان داده,1218304,2,
175,مباني ماتريسها و جبر خطي,1218103,1,
176,احتمال 1,1218203,1,
176,ساختمان داده,1218304,2,
176,مباني ماتريسها و جبر خطي,1218103,2,
176,مباني منطق و نظريه مجموعه,1218243,1,
177,اصول سيستمهاي کامپيوتري,1218374,1,
177,ساختمان داده,1218304,2,
177,مباني آناليز عددي,1218133,2,
177,مباني ترکيبيات,1218163,1,
178,احتمال 1,1218203,1,
178,اصول سيستمهاي کامپيوتري,1218374,1,
178,ساختمان داده,1218304,2,
178,مباني آناليز عددي,1218133,2,
179,اصول سيستمهاي کامپيوتري,1218374,1,
179,ساختمان داده,1218304,1,
179,مباني ماتريسها و جبر خطي,1218103,1,
180,برنامه سازي پيشرفته وکارگاه,1316234,1,
180,مباني آناليز عددي,1218133,2,
180,مباني احتمال,1319153,1,
180,مباني ماتريسها و جبر خطي,1218103,2,
181,اصول سيستمهاي کامپيوتري,1218374,1,
181,ساختمان داده,1218304,2,
181,مباني احتمال,1319153,1,
181,مباني ماتريسها و جبر خطي,1218103,2,
181,نرم,1316283,1,
182,اصول سيستمهاي کامپيوتري,1218374,1,
182,ساختمان داده,1218304,2,
182,شبيه,1128413,1,
182,مباني کارآفريني,1236322,2,
182,مباني ترکيبيات,1218163,1,
183,اصول سيستمهاي کامپيوتري,1218374,1,
183,ساختمان داده,1218304,2,
183,مباني آناليز عددي,1218133,2,
183,مباني احتمال,1319153,1,
183,مباني ماتريسها و جبر خطي,1218103,2,
184,کارگاه کامپيوتر 1,1218281,3,
184,اصول حسابداري و هزينه,1126743,1,
184,مباني کارآفريني,1236322,2,
184,مباني کامپيوتر و برنامه,1236313,1,
185,برنامه سازي پيشرفته وکارگاه,1316234,2,
185,مباني احتمال,1319153,1,
185,مباني علوم رياضي,1236303,1,
185,مباني ماتريسها و جبر خطي,1218103,2,
186,برنامه سازي پيشرفته وکارگاه,1316234,2,
186,زبان تخصصي,1218603,1,
186,مباني ترکيبيات,1218163,1,
186,مباني علوم رياضي,1236303,1,
186,نرم,1316283,1,
187,برنامه سازي پيشرفته وکارگاه,1316234,1,
187,مباني آناليز رياضي,1218123,1,
187,مباني آناليز عددي,1218133,2,
187,مباني ترکيبيات,1218163,1,
187,مباني جبر,1218173,1,
187,مباني ماتريسها و جبر خطي,1218103,2,
188,مباني آناليز رياضي,1218123,1,
188,مباني ترکيبيات,1218163,1,
188,مباني ماتريسها و جبر خطي,1218103,2,
189,مباني ترکيبيات,1218163,1,
189,مباني علوم رياضي,1236303,1,
190,برنامه سازي پيشرفته وکارگاه,1316234,1,
190,مباني آناليز عددي,1218133,2,
190,مباني احتمال,1319153,1,
190,مباني ماتريسها و جبر خطي,1218103,2,
190,نرم,1316283,1,
191,اصول سيستمهاي کامپيوتري,1218374,1,
191,ساختمان داده,1218304,1,
191,مباني آناليز عددي,1218133,2,
191,نرم,1316283,1,
191,نظريه گراف,1129043,1,
192,فلسفه علم,1218563,1,
192,مباني کارآفريني,1236322,1,
192,مباني آناليز رياضي,1218123,1,
192,نظريه گراف,1129043,1,
192,نظريه مقدماتي اعداد,1218253,1,
193,ساختمان داده,1218304,1,
193,مباني آناليز عددي,1218133,2,
193,مباني ترکيبيات,1218163,1,
193,مباني ماتريسها و جبر خطي,1218103,2,
194,احتمال 1,1218203,1,
194,برنامه سازي پيشرفته وکارگاه,1316234,1,
194,مباني آناليز رياضي,1218123,1,
194,مباني ماتريسها و جبر خطي,1218103,2,
194,نظريه مقدماتي اعداد,1218253,1,
195,مباني آناليز رياضي,1218123,1,
195,مباني آناليز عددي,1218133,2,
195,مباني احتمال,1319153,1,
